name,summary,job_link,company_description,industry,size,founded,specialities
CivicPlus,Powering and Empowering Government,https://www.linkedin.com/jobs/civicplus-jobs-worldwide?f_C=246768&trk=top-card_top-card-primary-button-top-card-primary-cta,"CivicPlus is the only government technology company exclusively committed to powering and empowering governments to efficiently operate, serve, and govern through the use of our innovative and integrated technology solutions purpose-built and supported by former municipal leaders and award-winning support teams. 

When many residents hear the word government, they think of federal and state leaders and agencies. However, in reality, residents interact more with the local leaders whose work and initiatives impact them directly where they live, work, play, and raise their families.

At CivicPlus®️, we believe that every interaction between residents and their local government should be exceptional and frictionless. It’s why we build technology solutions designed to foster positive and powerful civic experiences. 

With more than 20 years of experience, CivicPlus has earned the trust of over 12,000 customers, their 100,000+ local government users, and their 340 million+ residents in the U.S. and Canada alone.",IT Services and IT Consulting,"501-1,000 employees",2001,"Government Websites, Digital Community Engagement, Website Design and Hosting, Parks and Rec Management, Agenda and Meeting Management, Mass Notifications, Citizen Request Management, Planning, Permitting, Licensing, and Code Enforcement, Municode Codification, and Fire and Life Safety Inspections"
BigID,Security • Compliance • Privacy • AI • Risk • AI Data Management,https://www.linkedin.com/jobs/bigid-jobs-worldwide?f_C=7594728&trk=top-card_top-card-primary-button-top-card-primary-cta,"BigID is a leader in data security, privacy, compliance, and governance: enabling organizations to proactively discover, manage, protect, and get more value from their data in a single platform for data visibility and control. 

Customers use BigID to reduce their data risk, automate security and privacy controls, achieve compliance, and understand their data across their entire data landscape: including multicloud, hybrid cloud, IaaS, PaaS, SaaS, and on-prem data sources",Computer and Network Security,201-500 employees,2016,"Identity Protection, Privacy Governance, PII Risk Management, Privacy Analytics, Security, Privacy Compliance, Data Governance, Data Protection, GDPR, Data Security, Data Compliance, Data Analytics, Big Data, Breach Response, HIPAA, Privacy, CCPA, AI, Cybersecurity, Privacy Automation, data risk, compliance, dspm, and cloud data security"
Darrow,Doing the Future Justice,https://www.linkedin.com/jobs/darrow-jobs-worldwide?f_C=67191532&trk=top-card_top-card-primary-button-top-card-primary-cta,"Darrow is an AI-Powered Justice Intelligence Platform that sifts through real world data and legal data to detect harmful events, determine the number of victims, predict the outcome, and assess the financial value of a case. Using generative AI, Darrow uncovers egregious legal violations, matching plaintiff’s lawyers with their next big case so they can stop spending valuable hours on business development and focus on what they do best: fighting for justice. 
Darrow is based out of Tel Aviv and New York City.","Technology, Information and Internet",51-200 employees,2020,
Kaltura,"Our Video Experience Cloud drives virtual events, communication, learning, & TV experiences for millions of users daily.",https://www.linkedin.com/jobs/kaltura-jobs-worldwide?f_C=92413&trk=top-card_top-card-primary-button-top-card-primary-cta,"Kaltura’s mission is to power any video experience for any organization. Kaltura is the leading video cloud, powering the broadest range of video experiences. Our Video Experience Cloud is used by leading brands reaching millions of users, at home, at school, and at work, for virtual events, communication, collaboration, training, marketing, sales, customer care, teaching, learning, and entertainment experiences.",Software Development,"501-1,000 employees",2006,"video platform, video management, video publishing, video streaming, interactive video, media management, media distribution, video portals, video players, video solutions, online video, mobile video, video conferencing, video communication, online meetings, meeting solutions, webinars, townhalls, lecture capture, cloud tv, OTT TV, video cloud, video platform as a service, media services, vpaas, podcasting, video messaging, virtual events, hybrid events, event platform, training platform, and webinars"
Runwise,A smarter way to run your building.,https://www.linkedin.com/jobs/runwise-jobs-worldwide?f_C=4367317&trk=top-card_top-card-primary-button-top-card-primary-cta,"Runwise is the first end-to-end boiler and heating system management platform. The company combines a proprietary heat computer and sensor network, machine learning systems, and a team of trained boiler experts, to reduce fuel consumption by an average of 20-25% across 6,000 buildings around New York City. Runwise's customers include some of the smallest owners, all the way up to the biggest, including The Related Companies, Lemle & Wolff, Bettina Equities, Winn Residential and the Lefrak Organization. Runwise's platform is the only end-to-end boiler monitoring and management system that saves owners money, increases tenant comfort, and radically lowers carbon output across New York City.",Real Estate,51-200 employees,2010,"Local Law 87, Local Law 84, and Boiler Management"
EngageTech,Driving pipeline generation and new business for organisations in the technology sector.,https://www.linkedin.com/jobs/engagetech-jobs-worldwide?f_C=1082861&trk=top-card_top-card-primary-button-top-card-primary-cta,"Revolutionise your B2B prospecting process with EngageTech! We are transforming the way SDR and Sales teams connect with prospects, driving qualified and predictable pipeline results.

💡 Discover the power of our Sales Intelligence platform dedicated to tech buyers. Gain essential insights to find and close opportunities swiftly, accelerating your B2B prospecting process. Our platform empowers smart SDRs to convert active buyers with human-verified intelligence and AI algorithms efficiently.

💼 Experience the impact of our highly-trained Outsourced SDRs. They generate qualified opportunities at an accelerated pace, supercharging your sales team's efforts. Alternatively, our Managed SDRs service enables you to build your own team of SDR all-stars in partnership with an industry leader. We handle the hiring, onboarding, and training, allowing you to ramp up your own winning SDR team quickly.

📈 Don't fall short on pipeline again. EngageTech has helped countless sales teams accelerate prospecting, secure meetings with in-market buyers, and consistently surpass quota expectations. Increase sales productivity, slash research time, and have meaningful conversations with our transformative prospecting process.

🔒 With over a decade of experience in B2B tech prospecting, we have earned the trust of leading businesses. Whether you want to outsource your SDR functions, build your own team, or leverage our software, we are your dedicated partners in success.

Are you ready to revolutionise your prospecting process and generate pipeline opportunities faster? Reach out to EngageTech today and experience the transformative power of our solutions. 
Request a demo now and unlock a world of growth and success.",Business Intelligence Platforms,51-200 employees,2010,"Database Services, Lead Qualification, New Business Aquisition, Telemarketing, Inside Sales Training, Marketing Automation, Sales Intelligence Software, Managed Services, Outsourced SDR Services, Managed SDR Services, and B2B Tech Prospecting"
Roboflow,Making computer vision easy to use for developers.,https://www.linkedin.com/jobs/roboflow-jobs-worldwide?f_C=36096640&trk=top-card_top-card-primary-button-top-card-primary-cta,"Roboflow creates software-as-a-service products to make building with computer vision easy.

Over 250,000 developers use Roboflow to manage image data, annotate and label datasets, apply preprocessing and augmentations, convert annotation file formats, train a computer vision model in one-click, and deploy models via API or to the edge.

https://roboflow.com",Software Development,11-50 employees,,
Pursuit,Scale your sales + marketing teams with elite talent,https://www.linkedin.com/jobs/pursuit-jobs-worldwide?f_C=6592912&trk=top-card_top-card-primary-button-top-card-primary-cta,"Pursuit recruits elite sales and marketing talent for your organization, specializing within the tech and medical device spaces. We hunt down the top performers you need to help your organization succeed and sell them on your opportunity.

For more information or to get in contact with our team, please reach out to info@pursuitsalessolutions.com.

Listen to our podcast -> https://open.spotify.com/show/4wfAVXd8mSUYFzA9yY5cXZ?si=fc05438032d8491a",Staffing and Recruiting,51-200 employees,2015,"Medical Sales, B2B, Software Sales, Sales, Medical Device, Recruiting, and Staffing"
Commonwealth Joe Coffee Roasters,Award-winning specialty coffee and leading provider of cold brew on tap to offices across the US.,https://www.linkedin.com/jobs/commonwealth-joe-coffee-roasters-jobs-worldwide?f_C=5073544&trk=top-card_top-card-primary-button-top-card-primary-cta,"Award-Winning Specialty Coffee based in Arlington, VA with Office Cold Brew on Tap in DC, NYC, BOS, PHL, LA, SD.",Food & Beverages,51-200 employees,2012,"Locally-roasted coffee, Nitro Cold Brew Coffee, Espresso-based drinks, Fresh baked goods, Specialty Coffee, Coffee Roaster, Specialty Coffee Retailer, Office Perks, Office Coffee, Vending, and Beverage Technology"
Mezmo,"Collect, transform, and route telemetry data to control costs and drive actionability.",https://www.linkedin.com/jobs/mezmo-jobs-worldwide?f_C=17963177&trk=top-card_top-card-primary-button-top-card-primary-cta,"Mezmo is a leader in observability, helping organizations confidently harness value from telemetry data. Mezmo offers a telemetry pipeline platform for streamlined data collection, profiling, transformation, routing, and analysis. Built for enterprise scale, Mezmo’s platform makes it easier to understand data, optimize data to control costs, and respond quickly to make data-driven decisions. Mezmo delivers productivity gains and cost advantage to modern observability, security, and platform engineering teams at hyper-growth startups and Fortune 500 companies.

Mezmo is the exclusive logging provider for IBM Cloud, driving innovation in observability at hyper-scale since 2018. The company has been recognized as one of the fastest growing companies in the US by Inc 5000 and Deloitte Fast 500.",Software Development,51-200 employees,2015,"Cloud based log management, Instantly pinpoint production issues, Modern UI, DevOps, Microservices, Kubernetes, Cloud, Cloud logging, Log Management Software, Log Analysis, Centralized Log Management, Log Manager, Observability, Data, Telemetry, and Pipeline"
